image_identifier,question,number_conditions_correct,number_unique_prediction_sets,original_only_correct,raw_crops_only_correct,rectified_crops_only_correct,original_raw_no_annotation_correct,original_rectified_no_annotation_correct,raw_crop_multiview_correct,full_multiview_correct
IMG_3300.JPG,Where is Bathroom?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is Beanery Cafe?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is Economics Department Office?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is Elevator (accessible restrooms on 2nd floor)?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is Main Stairwell?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is Men's Room?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is Restroom?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is Restrooms?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is Rooms 3100 to 3210?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is Rooms 3400 to 3510?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,"Where is Russell Sage Lab, 3rd Floor?",7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is SAGE 3101 Computer Lab/Classroom?,7,1,True,True,True,True,True,True,True
IMG_3300.JPG,Where is The Beanery Cafe?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is Computer Lab?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is Economics Department Office?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is Elevator?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is Main Stairwell?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is Men's Room?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is Restrooms?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is Rooms 3100 to 3210?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is Rooms 3400 to 3510?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,"Where is Russell Sage Lab, 3rd Floor?",7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is SAGE 3101 Computer Lab/Classroom?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is SAGE 3303 Classroom?,7,1,True,True,True,True,True,True,True
IMG_3303.JPG,Where is The Beanery Cafe?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Bathroom?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Computer Lab?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Economics Department Office?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Elevator (accessible restrooms on 2nd floor)?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Elevator?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Main Stairwell?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Men's Room?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Restroom?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Restrooms?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Rooms 3100 to 3210?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is Rooms 3400 to 3510?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,"Where is Russell Sage Lab, 3rd Floor?",7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is SAGE 3101 Computer Lab/Classroom?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is SAGE 3303 Classroom?,7,1,True,True,True,True,True,True,True
IMG_3304.JPG,Where is The Beanery Cafe?,7,1,True,True,True,True,True,True,True
IMG_3305.JPG,Where is 3602-3510?,7,1,True,True,True,True,True,True,True
IMG_3305.JPG,Where is 3702-3704?,7,1,True,True,True,True,True,True,True
IMG_3305.JPG,Where is 3703-3713?,7,1,True,True,True,True,True,True,True
IMG_3305.JPG,Where is Room 3510?,7,1,True,True,True,True,True,True,True
IMG_3305.JPG,Where is Room 3602?,7,1,True,True,True,True,True,True,True
IMG_3305.JPG,Where is Room 3702?,7,1,True,True,True,True,True,True,True
IMG_3305.JPG,Where is Room 3703?,7,1,True,True,True,True,True,True,True
IMG_3305.JPG,Where is Room 3704?,7,1,True,True,True,True,True,True,True
IMG_3305.JPG,Where is Room 3713?,7,1,True,True,True,True,True,True,True
IMG_3305.JPG,Where is Sage Lab 3rd Floor?,7,1,True,True,True,True,True,True,True
IMG_3306.JPG,Where is 3602-3510?,7,1,True,True,True,True,True,True,True
IMG_3306.JPG,Where is 3702-3704?,7,1,True,True,True,True,True,True,True
IMG_3306.JPG,Where is 3703-3713?,7,1,True,True,True,True,True,True,True
IMG_3306.JPG,Where is Room 3510?,7,1,True,True,True,True,True,True,True
IMG_3306.JPG,Where is Room 3602?,7,1,True,True,True,True,True,True,True
IMG_3306.JPG,Where is Room 3702?,7,1,True,True,True,True,True,True,True
IMG_3306.JPG,Where is Room 3703?,7,1,True,True,True,True,True,True,True
IMG_3306.JPG,Where is Room 3704?,7,1,True,True,True,True,True,True,True
IMG_3306.JPG,Where is Room 3713?,7,1,True,True,True,True,True,True,True
IMG_3306.JPG,Where is Sage Lab 3rd Floor?,7,1,True,True,True,True,True,True,True
IMG_3307.JPG,Where is 3602-3510?,7,1,True,True,True,True,True,True,True
IMG_3307.JPG,Where is 3702-3704?,7,1,True,True,True,True,True,True,True
IMG_3307.JPG,Where is 3703-3713?,7,1,True,True,True,True,True,True,True
IMG_3307.JPG,Where is Room 3510?,7,1,True,True,True,True,True,True,True
IMG_3307.JPG,Where is Room 3602?,7,1,True,True,True,True,True,True,True
IMG_3307.JPG,Where is Room 3702?,7,1,True,True,True,True,True,True,True
IMG_3307.JPG,Where is Room 3703?,7,1,True,True,True,True,True,True,True
IMG_3307.JPG,Where is Room 3704?,7,1,True,True,True,True,True,True,True
IMG_3307.JPG,Where is Room 3713?,7,1,True,True,True,True,True,True,True
IMG_3307.JPG,Where is Sage Lab 3rd Floor?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is 1st Floor (via West Stairs or Elevator)?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is 1st Floor?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is 2100 to 2500?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is 2600 to 2715?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is 3510 to 3713?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is Elevator?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is Main Directory in 3rd Floor Lobby?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is Restrooms?,3,2,True,True,False,False,True,False,False
IMG_3308.JPG,Where is Room 2100?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is Room 2500?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is Room 2600?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is Room 2715?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is Room 3510?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is Room 3713?,7,1,True,True,True,True,True,True,True
IMG_3308.JPG,Where is Russell Sage Laboratory 2nd Floor?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is 1st Floor?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is 2100 to 2500?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is 2600 to 2715?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is 3510 to 3713?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is Elevator?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is Main Directory in 3rd Floor Lobby?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is Restrooms?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is Room 2100?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is Room 2500?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is Room 2600?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is Room 2715?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is Room 3510?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is Room 3713?,7,1,True,True,True,True,True,True,True
IMG_3310.JPG,Where is Russell Sage Laboratory 2nd Floor?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is 1st Floor?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is 2100 to 2500?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is 2600 to 2715?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is 3510 to 3713?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is Elevator?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is Main Directory in 3rd Floor Lobby?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is Restrooms?,5,2,True,True,True,True,False,False,True
IMG_3311.JPG,Where is Room 2100?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is Room 2500?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is Room 2600?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is Room 2715?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is Room 3510?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is Room 3713?,7,1,True,True,True,True,True,True,True
IMG_3311.JPG,Where is Russell Sage Laboratory 2nd Floor?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is 1st Floor (via West Stairs or Elevator)?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is 1st Floor?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is 2100 to 2317?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is 2400 to 2715?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is 3510 to 3713 (via East Stairs)?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is 3510 to 3713?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is Elevator?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is Restrooms?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is Room 2100?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is Room 2317?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is Room 2400?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is Room 2715?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is Room 3510?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is Room 3713?,7,1,True,True,True,True,True,True,True
IMG_3313.JPG,Where is Russell Sage Laboratory 2nd Floor?,7,1,True,True,True,True,True,True,True
IMG_3314.JPG,Where is 1st Floor (via West Stairs or Elevator)?,7,1,True,True,True,True,True,True,True
IMG_3314.JPG,Where is 1st Floor?,7,1,True,True,True,True,True,True,True
IMG_3314.JPG,Where is 2100 to 2211?,7,1,True,True,True,True,True,True,True
IMG_3314.JPG,Where is 2300 to 2715?,7,1,True,True,True,True,True,True,True
IMG_3314.JPG,Where is 3510 to 3713?,7,1,True,True,True,True,True,True,True
